Site_ID,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Phenophase_ID,Phenophase_Description,First_Yes_Sample_Size,Mean_First_Yes_Year,Mean_First_Yes_DOY,Mean_First_Yes_Julian_Date,SE_First_Yes_In_Days,Min_First_Yes_DOY,Max_First_Yes_DOY,Median_First_Yes_DOY,Mean_NumDays_Since_Prior_No,SE_NumDays_Since_Prior_No,Last_Yes_Sample_Size,Mean_Last_Yes_Year,Mean_Last_Yes_DOY,Mean_Last_Yes_Julian_Date,SE_Last_Yes_in_Days,Mean_NumDays_Until_Next_No,SE_NumDays_Until_Next_No,Mean_AGDD
2782,39.970871,-105.255142,1733,CO,88,Prunus,persica,peach,Plantae,371,Breaking leaf buds,0,-9999,-9999,-9999,-9999.0,-9999,-9999,-9999,-9999.0,-9999.0,1,2012,145,2456072,-9999.0,10.0,-9999.0,-9999.0
2782,39.970871,-105.255142,1733,CO,88,Prunus,persica,peach,Plantae,467,Early season leaf expansion,0,-9999,-9999,-9999,-9999.0,-9999,-9999,-9999,-9999.0,-9999.0,1,2012,145,2456072,-9999.0,10.0,-9999.0,-9999.0
6445,31.346027,-85.851768,110,AL,88,Prunus,persica,peach,Plantae,371,Breaking leaf buds,2,2012,86,2456013,0.0,86,86,86,13.0,0.0,1,2012,101,2456028,-9999.0,7.0,-9999.0,1241.5
6445,31.346027,-85.851768,110,AL,88,Prunus,persica,peach,Plantae,467,Early season leaf expansion,2,2012,97,2456024,4.0,93,101,97,7.5,0.5,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,1468.0
6445,31.346027,-85.851768,110,AL,88,Prunus,persica,peach,Plantae,483,Leaves,2,2012,90,2456017,3.5,86,93,90,10.0,3.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,1316.875
6445,31.346027,-85.851768,110,AL,88,Prunus,persica,peach,Plantae,500,Flowers or flower buds,2,2012,66,2455993,7.0,59,73,66,7.5,0.5,1,2012,101,2456028,-9999.0,7.0,-9999.0,849.75
6445,31.346027,-85.851768,110,AL,88,Prunus,persica,peach,Plantae,501,Open flowers,2,2012,76,2456003,10.0,66,86,76,10.0,3.0,1,2012,101,2456028,-9999.0,7.0,-9999.0,1045.0
6445,31.346027,-85.851768,110,AL,88,Prunus,persica,peach,Plantae,516,Fruits,2,2012,101,2456028,7.5,93,108,101,7.0,0.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,1534.125
6698,32.36203,-95.171768,134,TX,88,Prunus,persica,peach,Plantae,371,Breaking leaf buds,0,-9999,-9999,-9999,-9999.0,-9999,-9999,-9999,-9999.0,-9999.0,1,2012,110,2456037,-9999.0,11.0,-9999.0,-9999.0
6698,32.36203,-95.171768,134,TX,88,Prunus,persica,peach,Plantae,500,Flowers or flower buds,1,2012,110,2456037,-9999.0,110,110,110,9.0,-9999.0,1,2012,110,2456037,-9999.0,11.0,-9999.0,1613.75
6698,32.36203,-95.171768,134,TX,88,Prunus,persica,peach,Plantae,501,Open flowers,1,2012,110,2456037,-9999.0,110,110,110,9.0,-9999.0,1,2012,110,2456037,-9999.0,11.0,-9999.0,1613.75
8188,40.10041,-88.213066,227,IL,88,Prunus,persica,peach,Plantae,371,Breaking leaf buds,1,2012,76,2456003,-9999.0,76,76,76,6.0,-9999.0,1,2012,79,2456006,-9999.0,20.0,-9999.0,260.5
8188,40.10041,-88.213066,227,IL,88,Prunus,persica,peach,Plantae,467,Early season leaf expansion,1,2012,88,2456015,-9999.0,88,88,88,9.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,468.0
